t	vin	vout
9.98928590	0.96823030	302.37740000
10.02928590	0.98574790	302.37740000
10.06928590	0.98574790	306.81780000
10.10928590	0.98574790	302.37740000
10.14928590	0.96823030	302.37740000
10.18928590	0.96823030	306.81780000
10.22928590	0.96823030	302.37740000
10.26928590	0.96823030	306.81780000
10.30928590	0.96823030	302.37740000
10.34928590	0.96823030	306.81780000
10.38928590	0.96823030	302.37740000
10.42928590	0.96823030	306.81780000
10.46928590	0.96823030	306.81780000
10.50928590	0.96823030	306.81780000
10.54928590	0.96823030	306.81780000
10.58928590	0.96823030	302.37740000
10.62928590	0.96823030	306.81780000
10.66928590	0.96823030	306.81780000
10.70928590	0.98574790	306.81780000
10.74928590	0.98574790	306.81780000
10.78928590	0.96823030	306.81780000
10.82928590	0.96823030	306.81780000
10.86928590	0.96823030	306.81780000
10.90928590	0.96823030	306.81780000
10.94928590	0.96823030	306.81780000
10.98928590	0.96823030	306.81780000
11.02928590	0.96823030	306.81780000
11.06928590	0.96823030	306.81780000
11.10928590	0.96823030	306.81780000
11.14928590	0.96823030	311.25830000
11.18928590	0.96823030	311.25830000
11.22928590	0.96823030	306.81780000
11.26928590	0.96823030	306.81780000
11.30928590	0.96823030	306.81780000
11.34928590	0.98574790	306.81780000
11.38928589	0.98574790	306.81780000
11.42928589	0.98574790	306.81780000
11.46928589	0.98574790	311.25830000
11.50928589	0.96823030	306.81780000
11.54928589	0.96823030	306.81780000
11.58928589	0.96823030	311.25830000
11.62928589	0.96823030	306.81780000
11.66928589	0.96823030	311.25830000
11.70928589	0.98574790	306.81780000
11.74928589	0.98574790	311.25830000
11.78928589	0.96823030	311.25830000
11.82928589	0.96823030	306.81780000
11.86928589	0.98574790	311.25830000
11.90928589	0.96823030	311.25830000
11.94928589	0.96823030	306.81780000
11.98928589	0.96823030	311.25830000
12.02928589	0.96823030	311.25830000
12.06928589	0.96823030	311.25830000
12.10928589	0.96823030	311.25830000
12.14928589	0.96823030	311.25830000
12.18928589	0.96823030	311.25830000
12.22928589	0.96823030	311.25830000
12.26928589	0.96823030	306.81780000
12.30928589	0.98574790	311.25830000
12.34928589	0.98574790	311.25830000
12.38928589	0.96823030	306.81780000
12.42928589	0.96823030	311.25830000
12.46928589	0.98574790	306.81780000
12.50928589	0.96823030	311.25830000
12.54928589	0.96823030	306.81780000
12.58928589	0.96823030	306.81780000
12.62928589	0.96823030	306.81780000
12.66928589	0.98574790	311.25830000
12.70928589	0.98574790	311.25830000
12.74928589	0.98574790	311.25830000
12.78928589	0.96823030	311.25830000
12.82928589	0.96823030	306.81780000
12.86928589	0.96823030	311.25830000
12.90928589	0.96823030	311.25830000
12.94928589	0.96823030	311.25830000
12.98928589	0.98574790	311.25830000
13.02928588	0.96823030	306.81780000
13.06928588	0.98574790	311.25830000
13.10928588	0.98574790	311.25830000
13.14928588	0.96823030	306.81780000
13.18928588	0.98574790	306.81780000
13.22928588	0.96823030	311.25830000
13.26928588	0.98574790	311.25830000
13.30928588	0.96823030	306.81780000
13.34928588	0.96823030	311.25830000
13.38928588	0.98574790	306.81780000
13.42928588	0.96823030	311.25830000
13.46928588	0.96823030	306.81780000
13.50928588	0.96823030	306.81780000
13.54928588	0.96823030	306.81780000
13.58928588	0.98574790	306.81780000
13.62928588	0.96823030	306.81780000
13.66928588	0.96823030	306.81780000
13.70928588	0.98574790	306.81780000
