time	V(vout)	V(n001)
9.038407942303067e-003	-1.851509e+000	2.389887e-001
9.057939192303067e-003	-2.761970e+000	3.560549e-001
9.077470442303066e-003	-3.630888e+000	4.677657e-001
9.097001692303066e-003	-4.445194e+000	5.724409e-001
9.116532942303066e-003	-5.192641e+000	6.685060e-001
9.136064192303065e-003	-5.861985e+000	7.545161e-001
9.155595442303065e-003	-6.443160e+000	8.291777e-001
9.175126692303064e-003	-6.927423e+000	8.913676e-001
9.194657942303064e-003	-7.307493e+000	9.401506e-001
9.214189192303064e-003	-7.577651e+000	9.747928e-001
9.233720442303063e-003	-7.737563e+000	9.947732e-001
9.250763398696115e-003	-7.784163e+000	9.999885e-001
9.266243054403954e-003	-7.741491e+000	9.947966e-001
