time	V(vin)	V(vout)	V(n001)
3.139364128407420e-003	1.424627e+000	-6.374166e+000	5.000000e+000
3.158895378407420e-003	1.559356e+000	-6.508285e+000	5.000000e+000
3.178426628407420e-003	1.670631e+000	-6.619069e+000	5.000000e+000
3.197957878407420e-003	1.756778e+000	-6.704854e+000	5.000000e+000
3.217489128407420e-003	1.816501e+000	-6.764348e+000	5.000000e+000
3.237020378407420e-003	1.848903e+000	-6.796657e+000	5.000000e+000
3.256551628407420e-003	1.853644e+000	-6.801442e+000	5.000000e+000
3.275666975425134e-003	1.831142e+000	-6.779118e+000	5.000000e+000
3.295198225425134e-003	1.780760e+000	-6.729051e+000	5.000000e+000
3.314729475425134e-003	1.703742e+000	-6.652477e+000	5.000000e+000
3.334260725425134e-003	1.601097e+000	-6.550401e+000	5.000000e+000
3.353791975425134e-003	1.474371e+000	-6.424357e+000	5.000000e+000
3.373323225425134e-003	1.325469e+000	-6.276242e+000	5.000000e+000
3.392854475425134e-003	1.156630e+000	-6.108283e+000	5.000000e+000
3.412385725425134e-003	9.703948e-001	-5.923007e+000	5.000000e+000
3.431916975425134e-003	7.695639e-001	-5.723200e+000	5.000000e+000
3.451448225425134e-003	5.571580e-001	-5.511868e+000	5.000000e+000
3.470979475425134e-003	3.363719e-001	-5.292190e+000	5.000000e+000
3.490510725425134e-003	1.105265e-001	-5.067468e+000	5.000000e+000
3.510041975425134e-003	-1.169814e-001	-4.841084e+000	5.000000e+000
3.529573225425134e-003	-3.427297e-001	-4.616443e+000	5.000000e+000
3.549104475425134e-003	-5.633230e-001	-4.396923e+000	5.000000e+000
3.568635725425134e-003	-7.754434e-001	-4.185826e+000	5.000000e+000
3.588166975425134e-003	-9.759005e-001	-3.986328e+000	5.000000e+000
3.607698225425134e-003	-1.161679e+000	-3.801428e+000	5.000000e+000
3.627229475425134e-003	-1.329985e+000	-3.633908e+000	5.000000e+000
3.646760725425134e-003	-1.478287e+000	-3.486288e+000	5.000000e+000
3.666291975425134e-003	-1.604353e+000	-3.360787e+000	5.000000e+000
3.685823225425134e-003	-1.706289e+000	-3.259294e+000	5.000000e+000
3.705354475425134e-003	-1.782561e+000	-3.183335e+000	5.000000e+000
3.724885725425134e-003	-1.832021e+000	-3.134053e+000	5.000000e+000
3.744416975425134e-003	-1.854293e+000	-3.111824e+000	5.000000e+000
3.762924173823277e-003	-1.849320e+000	-3.116708e+000	5.000000e+000
3.782455423823277e-003	-1.816627e+000	-3.149173e+000	5.000000e+000
3.801986673823277e-003	-1.756976e+000	-3.208462e+000	5.000000e+000
3.821517923823277e-003	-1.670900e+000	-3.294051e+000	5.000000e+000
3.841049173823277e-003	-1.559691e+000	-3.404651e+000	5.000000e+000
3.860580423823277e-003	-1.425024e+000	-3.538598e+000	5.000000e+000
3.880111673823277e-003	-1.268922e+000	-3.693879e+000	5.000000e+000
3.899642923823277e-003	-1.093735e+000	-3.868157e+000	5.000000e+000
3.919174173823277e-003	-9.020969e-001	-4.058811e+000	5.000000e+000
3.938705423823277e-003	-6.968905e-001	-4.262974e+000	5.000000e+000
3.958236673823276e-003	-4.812022e-001	-4.477575e+000	5.000000e+000
3.977767923823276e-003	-2.582762e-001	-4.699386e+000	5.000000e+000
3.997299173823275e-003	-3.146546e-002	-4.925071e+000	5.000000e+000
4.016830423823275e-003	1.958186e-001	-5.151235e+000	5.000000e+000
4.036361673823275e-003	4.201573e-001	-5.374476e+000	5.000000e+000
4.055892923823274e-003	6.381764e-001	-5.591437e+000	5.000000e+000
4.075424173823274e-003	8.465968e-001	-5.798855e+000	5.000000e+000
4.094955423823273e-003	1.042284e+000	-5.993609e+000	5.000000e+000
4.114486673823273e-003	1.222294e+000	-6.172771e+000	5.000000e+000
4.134017923823273e-003	1.383919e+000	-6.333646e+000	5.000000e+000
4.153549173823272e-003	1.524729e+000	-6.473814e+000	5.000000e+000
4.173080423823272e-003	1.642606e+000	-6.591166e+000	5.000000e+000
4.192611673823271e-003	1.735776e+000	-6.683938e+000	5.000000e+000
4.212142923823271e-003	1.802839e+000	-6.750734e+000	5.000000e+000
4.231674173823270e-003	1.844133e+000	-6.791892e+000	5.000000e+000
4.247431556707668e-003	1.857021e+000	-6.804770e+000	5.000000e+000
4.264045287175838e-003	1.848892e+000	-6.796739e+000	5.000000e+000
4.283576537175838e-003	1.813936e+000	-6.762023e+000	5.000000e+000
4.303107787175837e-003	1.752741e+000	-6.701196e+000	5.000000e+000
4.322639037175837e-003	1.665183e+000	-6.614133e+000	5.000000e+000
4.342170287175836e-003	1.552579e+000	-6.502145e+000	5.000000e+000
4.361701537175836e-003	1.416623e+000	-6.366915e+000	5.000000e+000
4.381232787175836e-003	1.259359e+000	-6.210478e+000	5.000000e+000
4.400764037175835e-003	1.083154e+000	-6.035187e+000	5.000000e+000
